Bandara,Tahun,Internasional_Januari,Internasional_Februari,Internasional_Maret,Internasional_April,Internasional_Mei,Internasional_Juni,Internasional_Juli,Internasional_Agustus,Internasional_September,Internasional_Oktober,Internasional_November,Internasional_Desember,Internasional_Tahunan
,2020,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,2020,96538,63610,25325,616,182,383,357,222,279,217,234,510,188473
Soekarno Hatta-Jakarta,2020,626097,444267,187899,17499,9460,14619,22618,28513,32043,36549,42028,56330,1517922
Juanda-Surabaya,2020,98475,71723,22324,1026,340,398,482,293,407,1620,1188,826,199102
Hasanudin-Makassar,2020,-,-,-,-,-,-,-,-,-,-,-,-,-
Ngurah Rai-Bali,2020,641039,425633,274259,6752,1624,877,2117,1461,391,93,240,196,1354682
,2021,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,2021,379,476,715,555,334,275,188,88,65,29,15,31,3150
Soekarno Hatta-Jakarta,2021,48941,30819,38210,41100,42513,54120,45257,42345,47081,52031,73898,95915,612230
Juanda-Surabaya,2021,1252,1052,1153,1545,1113,1111,451,236,344,136,106,53,8552
Hasanudin-Makassar,2021,-,-,-,-,-,-,-,-,-,-,-,-,-
Ngurah Rai-Bali,2021,198,73,200,79,197,577,159,419,417,240,142,320,3021
,2022,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,2022,15,15,26,1994,16793,23176,31716,57612,63034,69972,66127,84790,415270
Soekarno Hatta-Jakarta,2022,82944,100778,173977,226557,307902,301893,300055,396039,445680,463463,443264,509441,3751993
Juanda-Surabaya,2022,108,8,2376,14791,31804,43037,28674,52999,71917,76741,75726,80144,478325
Hasanudin-Makassar,2022,-,-,-,-,-,-,-,-,-,-,-,-,-
Ngurah Rai-Bali,2022,518,1028,11453,47923,110403,170746,250747,298043,312284,336915,316073,356398,2212531
,2023,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,2023,81406,76054,75899,72200,70425,83814,74247,76590,75268,74218,74547,90288,924956
Soekarno Hatta-Jakarta,2023,469016,479400,537237,476397,535276,579430,531071,634105,619877,624618,607438,689402,6783267
Juanda-Surabaya,2023,85769,83064,82533,60882,86118,98215,73509,97501,99484,104068,95850,100405,1067398
Hasanudin-Makassar,2023,-,-,-,-,-,-,-,-,-,-,-,-,-
Ngurah Rai-Bali,2023,404091,343603,393675,432068,474926,499604,560044,581283,543105,546246,460954,473050,5712649
,2024,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,2024,91868,92782,77563,100796,90322,100076,88189,90201,95557,88873,-,-,-
Soekarno Hatta-Jakarta,2024,650043,623149,609907,653900,652622,653964,660180,774041,750773,726088,-,-,-
Juanda-Surabaya,2024,100725,94571,84187,94411,89035,75692,83210,112990,104265,95116,-,-,-
Hasanudin-Makassar,2024,-,-,-,-,-,-,-,-,-,-,-,-,-
Ngurah Rai-Bali,2024,525077,491204,487215,549136,605275,615636,659161,687823,649636,651246,-,-,-
