Tahun,Bulan,Hasanudin-Makassar,Juanda-Surabaya,Kualanamu-Medan,Ngurah Rai-Bali,Soekarno Hatta-Jakarta
2020,Agustus (d),-,293,222,1461,28513
2020,April (d),-,1026,616,6752,17499
2020,Desember (d),-,826,510,196,56330
2020,Februari (d),-,71723,63610,425633,444267
2020,Januari (d),-,98475,96538,641039,626097
2020,Juli (d),-,482,357,2117,22618
2020,Juni (d),-,398,383,877,14619
2020,Maret (d),-,22324,25325,274259,187899
2020,Mei (d),-,340,182,1624,9460
2020,November (d),-,1188,234,240,42028
2020,Oktober (d),-,1620,217,93,36549
2020,September (d),-,407,279,391,32043
2020,Tahunan (d),-,199102,188473,1354682,1517922
2021,Agustus (d),-,236,88,419,42345
2021,April (d),-,1545,555,79,41100
2021,Desember (d),-,53,31,320,95915
2021,Februari (d),-,1052,476,73,30819
2021,Januari (d),-,1252,379,198,48941
2021,Juli (d),-,451,188,159,45257
2021,Juni (d),-,1111,275,577,54120
2021,Maret (d),-,1153,715,200,38210
2021,Mei (d),-,1113,334,197,42513
2021,November (d),-,106,15,142,73898
2021,Oktober (d),-,136,29,240,52031
2021,September (d),-,344,65,417,47081
2021,Tahunan (d),-,8552,3150,3021,612230
2022,Agustus (d),-,52999,57612,298043,396039
2022,April (d),-,14791,1994,47923,226557
2022,Desember (d),-,80144,84790,356398,509441
2022,Februari (d),-,8,15,1028,100778
2022,Januari (d),-,108,15,518,82944
2022,Juli (d),-,28674,31716,250747,300055
2022,Juni (d),-,43037,23176,170746,301893
2022,Maret (d),-,2376,26,11453,173977
2022,Mei (d),-,31804,16793,110403,307902
2022,November (d),-,75726,66127,316073,443264
2022,Oktober (d),-,76741,69972,336915,463463
2022,September (d),-,71917,63034,312284,445680
2022,Tahunan (d),-,478325,415270,2212531,3751993
2023,Agustus (d),-,97501,76590,581283,634105
2023,April (d),-,60882,72200,432068,476397
2023,Desember (d),-,100405,90288,473050,689402
2023,Februari (d),-,83064,76054,343603,479400
2023,Januari (d),-,85769,81406,404091,469016
2023,Juli (d),-,73509,74247,560044,531071
2023,Juni (d),-,98215,83814,499604,579430
2023,Maret (d),-,82533,75899,393675,537237
2023,Mei (d),-,86118,70425,474926,535276
2023,November (d),-,95850,74547,460954,607438
2023,Oktober (d),-,104068,74218,546246,624618
2023,September (d),-,99484,75268,543105,619877
2023,Tahunan (d),-,1067398,924956,5712649,6783267
2024,Agustus (d),-,112990,90201,687823,774041
2024,April (d),-,94411,100796,549136,653900
2024,Desember (d),-,-,-,-,-
2024,Februari (d),-,94571,92782,491204,623149
2024,Januari (d),-,100725,91868,525077,650043
2024,Juli (d),-,83210,88189,659161,660180
2024,Juni (d),-,75692,100076,615636,653964
2024,Maret (d),-,84187,77563,487215,609907
2024,Mei (d),-,89035,90322,605275,652622
2024,November (d),-,-,-,-,-
2024,Oktober (d),-,95116,88873,651246,726088
2024,September (d),-,104265,95557,649636,750773
2024,Tahunan (d),-,-,-,-,-
